object_id,disposition,orbital_period,transit_duration,transit_depth_ppm,planet_radius,stellar_temp,stellar_logg,stellar_radius,mission,,,,,,,,,
K00884.03,CONFIRMED,3.336123113,1.9616,516.3,1.74,5097,4.597,0.779,Kepler,,,,,,,,,
K00886.01,CONFIRMED,8.01078456,2.312,1333.6,1.72,3713,4.779,0.47,Kepler,,,,,,,,,
K00886.02,CONFIRMED,12.07134205,4.3224,759.2,1.29,3713,4.779,0.47,Kepler,,,,,,,,,
K00886.03,CONFIRMED,20.99587872,2.6333,767.3,1.3,3713,4.779,0.47,Kepler,,,,,,,,,
K00887.01,CONFIRMED,7.41113177,2.5242,620.5,2.45,5849,4.517,0.919,Kepler,,,,,,,,,
K00888.01,FALSE POSITIVE,1.000747038,0.9967,1823.5,4.14,5472,4.499,0.79,Kepler,,,,,,,,,
K00889.01,CONFIRMED,8.884922995,2.07004,16053,10.51,5332,4.5,0.843,Kepler,,,,,,,,,
K00890.01,CONFIRMED,8.09888906,4.20241,6911.1,8.95,6214,4.442,1.076,Kepler,,,,,,,,,
K00891.01,CONFIRMED,10.00653012,5.344,936.1,3.52,6063,4.47,1.001,Kepler,,,,,,,,,
K00012.01,CONFIRMED,17.85522168,7.41287,9065.2,13.16,6823,4.308,1.367,Kepler,,,,,,,,,
K00901.01,CANDIDATE,12.73262407,2.2083,6465.7,4.87,3950,4.721,0.541,Kepler,,,,,,,,,
K00902.01,CANDIDATE,83.92494032,6.7904,7958.7,4.78,3960,4.746,0.509,Kepler,,,,,,,,,
